Word,Count,POS,Definition
U+1F468 U+200D U+1F468 U+200D U+1F466,481,emoji number: 481,"family: man, man, boy"
U+1F468 U+200D U+1F468 U+200D U+1F467,482,emoji number: 482,"family: man, man, girl"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,483,emoji number: 483,"family: man, man, girl, boy"
U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,484,emoji number: 484,"family: man, man, boy, boy"
U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,485,emoji number: 485,"family: man, man, girl, girl"
U+1F469 U+200D U+1F469 U+200D U+1F466,486,emoji number: 486,"family: woman, woman, boy"
U+1F469 U+200D U+1F469 U+200D U+1F467,487,emoji number: 487,"family: woman, woman, girl"
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,488,emoji number: 488,"family: woman, woman, girl, boy"
U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,489,emoji number: 489,"family: woman, woman, boy, boy"
U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,490,emoji number: 490,"family: woman, woman, girl, girl"
U+1F468 U+200D U+1F466,491,emoji number: 491,"family: man, boy"
U+1F468 U+200D U+1F466 U+200D U+1F466,492,emoji number: 492,"family: man, boy, boy"
U+1F468 U+200D U+1F467,493,emoji number: 493,"family: man, girl"
U+1F468 U+200D U+1F467 U+200D U+1F466,494,emoji number: 494,"family: man, girl, boy"
U+1F468 U+200D U+1F467 U+200D U+1F467,495,emoji number: 495,"family: man, girl, girl"
U+1F469 U+200D U+1F466,496,emoji number: 496,"family: woman, boy"
U+1F469 U+200D U+1F466 U+200D U+1F466,497,emoji number: 497,"family: woman, boy, boy"
U+1F469 U+200D U+1F467,498,emoji number: 498,"family: woman, girl"
U+1F469 U+200D U+1F467 U+200D U+1F466,499,emoji number: 499,"family: woman, girl, boy"
U+1F469 U+200D U+1F467 U+200D U+1F467,500,emoji number: 500,"family: woman, girl, girl"
U+1F5E3,501,emoji number: 501,speaking head
U+1F464,502,emoji number: 502,bust in silhouette
U+1F465,503,emoji number: 503,busts in silhouette
U+1FAC2,504,emoji number: 504,people hugging
U+1F463,505,emoji number: 505,footprints
U+1F9B0,506,emoji number: 506,red hair
U+1F9B1,507,emoji number: 507,curly hair
U+1F9B3,508,emoji number: 508,white hair
U+1F9B2,509,emoji number: 509,bald
U+1F435,510,emoji number: 510,monkey face
U+1F412,511,emoji number: 511,monkey
U+1F98D,512,emoji number: 512,gorilla
U+1F9A7,513,emoji number: 513,orangutan
U+1F436,514,emoji number: 514,dog face
U+1F415,515,emoji number: 515,dog
U+1F9AE,516,emoji number: 516,guide dog
U+1F415 U+200D U+1F9BA,517,emoji number: 517,service dog
U+1F429,518,emoji number: 518,poodle
U+1F43A,519,emoji number: 519,wolf
U+1F98A,520,emoji number: 520,fox
U+1F99D,521,emoji number: 521,raccoon
U+1F431,522,emoji number: 522,cat face
U+1F408,523,emoji number: 523,cat
U+1F408 U+200D U+2B1B,524,emoji number: 524,black cat
U+1F981,525,emoji number: 525,lion
U+1F42F,526,emoji number: 526,tiger face
U+1F405,527,emoji number: 527,tiger
U+1F406,528,emoji number: 528,leopard
U+1F434,529,emoji number: 529,horse face
U+1F40E,530,emoji number: 530,horse
U+1F984,531,emoji number: 531,unicorn
U+1F993,532,emoji number: 532,zebra
U+1F98C,533,emoji number: 533,deer
U+1F9AC,534,emoji number: 534,bison
U+1F42E,535,emoji number: 535,cow face
U+1F402,536,emoji number: 536,ox
U+1F403,537,emoji number: 537,water buffalo
U+1F404,538,emoji number: 538,cow
U+1F437,539,emoji number: 539,pig face
U+1F416,540,emoji number: 540,pig
U+1F417,541,emoji number: 541,boar
U+1F43D,542,emoji number: 542,pig nose
U+1F40F,543,emoji number: 543,ram
U+1F411,544,emoji number: 544,ewe
U+1F410,545,emoji number: 545,goat
U+1F42A,546,emoji number: 546,camel
U+1F42B,547,emoji number: 547,two-hump camel
U+1F999,548,emoji number: 548,llama
U+1F992,549,emoji number: 549,giraffe
U+1F418,550,emoji number: 550,elephant
U+1F9A3,551,emoji number: 551,mammoth
U+1F98F,552,emoji number: 552,rhinoceros
U+1F99B,553,emoji number: 553,hippopotamus
U+1F42D,554,emoji number: 554,mouse face
U+1F401,555,emoji number: 555,mouse
U+1F400,556,emoji number: 556,rat
U+1F439,557,emoji number: 557,hamster
U+1F430,558,emoji number: 558,rabbit face
U+1F407,559,emoji number: 559,rabbit
U+1F43F,560,emoji number: 560,chipmunk
U+1F9AB,561,emoji number: 561,beaver
U+1F994,562,emoji number: 562,hedgehog
U+1F987,563,emoji number: 563,bat
U+1F43B,564,emoji number: 564,bear
U+1F43B U+200D U+2744 U+FE0F,565,emoji number: 565,polar bear
U+1F428,566,emoji number: 566,koala
U+1F43C,567,emoji number: 567,panda
U+1F9A5,568,emoji number: 568,sloth
U+1F9A6,569,emoji number: 569,otter
U+1F9A8,570,emoji number: 570,skunk
U+1F998,571,emoji number: 571,kangaroo
U+1F9A1,572,emoji number: 572,badger
U+1F43E,573,emoji number: 573,paw prints
U+1F983,574,emoji number: 574,turkey
U+1F414,575,emoji number: 575,chicken
U+1F413,576,emoji number: 576,rooster
U+1F423,577,emoji number: 577,hatching chick
U+1F424,578,emoji number: 578,baby chick
U+1F425,579,emoji number: 579,front-facing baby chick
U+1F426,580,emoji number: 580,bird
U+1F427,581,emoji number: 581,penguin
U+1F54A,582,emoji number: 582,dove
U+1F985,583,emoji number: 583,eagle
U+1F986,584,emoji number: 584,duck
U+1F9A2,585,emoji number: 585,swan
U+1F989,586,emoji number: 586,owl
U+1F9A4,587,emoji number: 587,dodo
U+1FAB6,588,emoji number: 588,feather
U+1F9A9,589,emoji number: 589,flamingo
U+1F99A,590,emoji number: 590,peacock
U+1F99C,591,emoji number: 591,parrot
U+1F438,592,emoji number: 592,frog
U+1F40A,593,emoji number: 593,crocodile
U+1F422,594,emoji number: 594,turtle
U+1F98E,595,emoji number: 595,lizard
U+1F40D,596,emoji number: 596,snake
U+1F432,597,emoji number: 597,dragon face
U+1F409,598,emoji number: 598,dragon
U+1F995,599,emoji number: 599,sauropod
U+1F996,600,emoji number: 600,T-Rex
U+1F433,601,emoji number: 601,spouting whale
U+1F40B,602,emoji number: 602,whale
U+1F42C,603,emoji number: 603,dolphin
U+1F9AD,604,emoji number: 604,seal
U+1F41F,605,emoji number: 605,fish
U+1F420,606,emoji number: 606,tropical fish
U+1F421,607,emoji number: 607,blowfish
U+1F988,608,emoji number: 608,shark
U+1F419,609,emoji number: 609,octopus
U+1F41A,610,emoji number: 610,spiral shell
U+1F40C,611,emoji number: 611,snail
U+1F98B,612,emoji number: 612,butterfly
U+1F41B,613,emoji number: 613,bug
U+1F41C,614,emoji number: 614,ant
U+1F41D,615,emoji number: 615,honeybee
U+1FAB2,616,emoji number: 616,beetle
U+1F41E,617,emoji number: 617,lady beetle
U+1F997,618,emoji number: 618,cricket
U+1FAB3,619,emoji number: 619,cockroach
U+1F577,620,emoji number: 620,spider
U+1F578,621,emoji number: 621,spider web
U+1F982,622,emoji number: 622,scorpion
U+1F99F,623,emoji number: 623,mosquito
U+1FAB0,624,emoji number: 624,fly
U+1FAB1,625,emoji number: 625,worm
U+1F9A0,626,emoji number: 626,microbe
U+1F490,627,emoji number: 627,bouquet
U+1F338,628,emoji number: 628,cherry blossom
U+1F4AE,629,emoji number: 629,white flower
U+1F3F5,630,emoji number: 630,rosette
U+1F339,631,emoji number: 631,rose
U+1F940,632,emoji number: 632,wilted flower
U+1F33A,633,emoji number: 633,hibiscus
U+1F33B,634,emoji number: 634,sunflower
U+1F33C,635,emoji number: 635,blossom
U+1F337,636,emoji number: 636,tulip
U+1F331,637,emoji number: 637,seedling
U+1FAB4,638,emoji number: 638,potted plant
U+1F332,639,emoji number: 639,evergreen tree
U+1F333,640,emoji number: 640,deciduous tree
U+1F334,641,emoji number: 641,palm tree
U+1F335,642,emoji number: 642,cactus
U+1F33E,643,emoji number: 643,sheaf of rice
U+1F33F,644,emoji number: 644,herb
U+2618,645,emoji number: 645,shamrock
U+1F340,646,emoji number: 646,four leaf clover
U+1F341,647,emoji number: 647,maple leaf
U+1F342,648,emoji number: 648,fallen leaf
U+1F343,649,emoji number: 649,leaf fluttering in wind
U+1F347,650,emoji number: 650,grapes
U+1F348,651,emoji number: 651,melon
U+1F349,652,emoji number: 652,watermelon
U+1F34A,653,emoji number: 653,tangerine
U+1F34B,654,emoji number: 654,lemon
U+1F34C,655,emoji number: 655,banana
U+1F34D,656,emoji number: 656,pineapple
U+1F96D,657,emoji number: 657,mango
U+1F34E,658,emoji number: 658,red apple
U+1F34F,659,emoji number: 659,green apple
U+1F350,660,emoji number: 660,pear
U+1F351,661,emoji number: 661,peach
U+1F352,662,emoji number: 662,cherries
U+1F353,663,emoji number: 663,strawberry
U+1FAD0,664,emoji number: 664,blueberries
U+1F95D,665,emoji number: 665,kiwi fruit
U+1F345,666,emoji number: 666,tomato
U+1FAD2,667,emoji number: 667,olive
U+1F965,668,emoji number: 668,coconut
U+1F951,669,emoji number: 669,avocado
U+1F346,670,emoji number: 670,eggplant
U+1F954,671,emoji number: 671,potato
U+1F955,672,emoji number: 672,carrot
U+1F33D,673,emoji number: 673,ear of corn
U+1F336,674,emoji number: 674,hot pepper
U+1FAD1,675,emoji number: 675,bell pepper
U+1F952,676,emoji number: 676,cucumber
U+1F96C,677,emoji number: 677,leafy green
U+1F966,678,emoji number: 678,broccoli
U+1F9C4,679,emoji number: 679,garlic
U+1F9C5,680,emoji number: 680,onion
U+1F344,681,emoji number: 681,mushroom
U+1F95C,682,emoji number: 682,peanuts
U+1F330,683,emoji number: 683,chestnut
U+1F35E,684,emoji number: 684,bread
U+1F950,685,emoji number: 685,croissant
U+1F956,686,emoji number: 686,baguette bread
U+1FAD3,687,emoji number: 687,flatbread
U+1F968,688,emoji number: 688,pretzel
U+1F96F,689,emoji number: 689,bagel
U+1F95E,690,emoji number: 690,pancakes
U+1F9C7,691,emoji number: 691,waffle
U+1F9C0,692,emoji number: 692,cheese wedge
U+1F356,693,emoji number: 693,meat on bone
U+1F357,694,emoji number: 694,poultry leg
U+1F969,695,emoji number: 695,cut of meat
U+1F953,696,emoji number: 696,bacon
U+1F354,697,emoji number: 697,hamburger
U+1F35F,698,emoji number: 698,french fries
U+1F355,699,emoji number: 699,pizza
U+1F32D,700,emoji number: 700,hot dog
U+1F96A,701,emoji number: 701,sandwich
U+1F32E,702,emoji number: 702,taco
U+1F32F,703,emoji number: 703,burrito
U+1FAD4,704,emoji number: 704,tamale
U+1F959,705,emoji number: 705,stuffed flatbread
U+1F9C6,706,emoji number: 706,falafel
U+1F95A,707,emoji number: 707,egg
U+1F373,708,emoji number: 708,cooking
U+1F958,709,emoji number: 709,shallow pan of food
U+1F372,710,emoji number: 710,pot of food
U+1FAD5,711,emoji number: 711,fondue
U+1F963,712,emoji number: 712,bowl with spoon
U+1F957,713,emoji number: 713,green salad
U+1F37F,714,emoji number: 714,popcorn
U+1F9C8,715,emoji number: 715,butter
U+1F9C2,716,emoji number: 716,salt
U+1F96B,717,emoji number: 717,canned food
U+1F371,718,emoji number: 718,bento box
U+1F358,719,emoji number: 719,rice cracker
U+1F359,720,emoji number: 720,rice ball
U+1F35A,721,emoji number: 721,cooked rice
U+1F35B,722,emoji number: 722,curry rice
U+1F35C,723,emoji number: 723,steaming bowl
U+1F35D,724,emoji number: 724,spaghetti
U+1F360,725,emoji number: 725,roasted sweet potato
U+1F362,726,emoji number: 726,oden
U+1F363,727,emoji number: 727,sushi
U+1F364,728,emoji number: 728,fried shrimp
U+1F365,729,emoji number: 729,fish cake with swirl
U+1F96E,730,emoji number: 730,moon cake
U+1F361,731,emoji number: 731,dango
U+1F95F,732,emoji number: 732,dumpling
U+1F960,733,emoji number: 733,fortune cookie
U+1F961,734,emoji number: 734,takeout box
U+1F980,735,emoji number: 735,crab
U+1F99E,736,emoji number: 736,lobster
U+1F990,737,emoji number: 737,shrimp
U+1F991,738,emoji number: 738,squid
U+1F9AA,739,emoji number: 739,oyster
U+1F366,740,emoji number: 740,soft ice cream
U+1F367,741,emoji number: 741,shaved ice
U+1F368,742,emoji number: 742,ice cream
U+1F369,743,emoji number: 743,doughnut
U+1F36A,744,emoji number: 744,cookie
U+1F382,745,emoji number: 745,birthday cake
U+1F370,746,emoji number: 746,shortcake
U+1F9C1,747,emoji number: 747,cupcake
U+1F967,748,emoji number: 748,pie
U+1F36B,749,emoji number: 749,chocolate bar
U+1F36C,750,emoji number: 750,candy
U+1F36D,751,emoji number: 751,lollipop
U+1F36E,752,emoji number: 752,custard
U+1F36F,753,emoji number: 753,honey pot
U+1F37C,754,emoji number: 754,baby bottle
U+1F95B,755,emoji number: 755,glass of milk
U+2615,756,emoji number: 756,hot beverage
U+1FAD6,757,emoji number: 757,teapot
U+1F375,758,emoji number: 758,teacup without handle
U+1F376,759,emoji number: 759,sake
U+1F37E,760,emoji number: 760,bottle with popping cork
U+1F377,761,emoji number: 761,wine glass
U+1F378,762,emoji number: 762,cocktail glass
U+1F379,763,emoji number: 763,tropical drink
U+1F37A,764,emoji number: 764,beer mug
U+1F37B,765,emoji number: 765,clinking beer mugs
U+1F942,766,emoji number: 766,clinking glasses
U+1F943,767,emoji number: 767,tumbler glass
U+1F964,768,emoji number: 768,cup with straw
U+1F9CB,769,emoji number: 769,bubble tea
U+1F9C3,770,emoji number: 770,beverage box
U+1F9C9,771,emoji number: 771,mate
U+1F9CA,772,emoji number: 772,ice
U+1F962,773,emoji number: 773,chopsticks
U+1F37D,774,emoji number: 774,fork and knife with plate
U+1F374,775,emoji number: 775,fork and knife
U+1F944,776,emoji number: 776,spoon
U+1F52A,777,emoji number: 777,kitchen knife
U+1F3FA,778,emoji number: 778,amphora
U+1F30D,779,emoji number: 779,globe showing Europe-Africa
U+1F30E,780,emoji number: 780,globe showing Americas
U+1F30F,781,emoji number: 781,globe showing Asia-Australia
U+1F310,782,emoji number: 782,globe with meridians
U+1F5FA,783,emoji number: 783,world map
U+1F5FE,784,emoji number: 784,map of Japan
U+1F9ED,785,emoji number: 785,compass
U+1F3D4,786,emoji number: 786,snow-capped mountain
U+26F0,787,emoji number: 787,mountain
U+1F30B,788,emoji number: 788,volcano
U+1F5FB,789,emoji number: 789,mount fuji
U+1F3D5,790,emoji number: 790,camping
U+1F3D6,791,emoji number: 791,beach with umbrella
U+1F3DC,792,emoji number: 792,desert
U+1F3DD,793,emoji number: 793,desert island
U+1F3DE,794,emoji number: 794,national park
U+1F3DF,795,emoji number: 795,stadium
U+1F3DB,796,emoji number: 796,classical building
U+1F3D7,797,emoji number: 797,building construction
U+1F9F1,798,emoji number: 798,brick
U+1FAA8,799,emoji number: 799,rock
U+1FAB5,800,emoji number: 800,wood
U+1F6D6,801,emoji number: 801,hut
U+1F3D8,802,emoji number: 802,houses
U+1F3DA,803,emoji number: 803,derelict house
U+1F3E0,804,emoji number: 804,house
U+1F3E1,805,emoji number: 805,house with garden
U+1F3E2,806,emoji number: 806,office building
U+1F3E3,807,emoji number: 807,Japanese post office
U+1F3E4,808,emoji number: 808,post office
U+1F3E5,809,emoji number: 809,hospital
U+1F3E6,810,emoji number: 810,bank
U+1F3E8,811,emoji number: 811,hotel
U+1F3E9,812,emoji number: 812,love hotel
U+1F3EA,813,emoji number: 813,convenience store
U+1F3EB,814,emoji number: 814,school
U+1F3EC,815,emoji number: 815,department store
U+1F3ED,816,emoji number: 816,factory
U+1F3EF,817,emoji number: 817,Japanese castle
U+1F3F0,818,emoji number: 818,castle
U+1F492,819,emoji number: 819,wedding
U+1F5FC,820,emoji number: 820,Tokyo tower
U+1F5FD,821,emoji number: 821,Statue of Liberty
U+26EA,822,emoji number: 822,church
U+1F54C,823,emoji number: 823,mosque
U+1F6D5,824,emoji number: 824,hindu temple
U+1F54D,825,emoji number: 825,synagogue
U+26E9,826,emoji number: 826,shinto shrine
U+1F54B,827,emoji number: 827,kaaba
U+26F2,828,emoji number: 828,fountain
U+26FA,829,emoji number: 829,tent
U+1F301,830,emoji number: 830,foggy
U+1F303,831,emoji number: 831,night with stars
U+1F3D9,832,emoji number: 832,cityscape
U+1F304,833,emoji number: 833,sunrise over mountains
U+1F305,834,emoji number: 834,sunrise
U+1F306,835,emoji number: 835,cityscape at dusk
U+1F307,836,emoji number: 836,sunset
U+1F309,837,emoji number: 837,bridge at night
U+2668,838,emoji number: 838,hot springs
U+1F3A0,839,emoji number: 839,carousel horse
U+1F3A1,840,emoji number: 840,ferris wheel
U+1F3A2,841,emoji number: 841,roller coaster
U+1F488,842,emoji number: 842,barber pole
U+1F3AA,843,emoji number: 843,circus tent
U+1F682,844,emoji number: 844,locomotive
U+1F683,845,emoji number: 845,railway car
U+1F684,846,emoji number: 846,high-speed train
U+1F685,847,emoji number: 847,bullet train
U+1F686,848,emoji number: 848,train
U+1F687,849,emoji number: 849,metro
U+1F688,850,emoji number: 850,light rail
U+1F689,851,emoji number: 851,station
U+1F68A,852,emoji number: 852,tram
U+1F69D,853,emoji number: 853,monorail
U+1F69E,854,emoji number: 854,mountain railway
U+1F68B,855,emoji number: 855,tram car
U+1F68C,856,emoji number: 856,bus
U+1F68D,857,emoji number: 857,oncoming bus
U+1F68E,858,emoji number: 858,trolleybus
U+1F690,859,emoji number: 859,minibus
U+1F691,860,emoji number: 860,ambulance
U+1F692,861,emoji number: 861,fire engine
U+1F693,862,emoji number: 862,police car
U+1F694,863,emoji number: 863,oncoming police car
U+1F695,864,emoji number: 864,taxi
U+1F696,865,emoji number: 865,oncoming taxi
U+1F697,866,emoji number: 866,automobile
U+1F698,867,emoji number: 867,oncoming automobile
U+1F699,868,emoji number: 868,sport utility vehicle
U+1F6FB,869,emoji number: 869,pickup truck
U+1F69A,870,emoji number: 870,delivery truck
U+1F69B,871,emoji number: 871,articulated lorry
U+1F69C,872,emoji number: 872,tractor
U+1F3CE,873,emoji number: 873,racing car
U+1F3CD,874,emoji number: 874,motorcycle
U+1F6F5,875,emoji number: 875,motor scooter
U+1F9BD,876,emoji number: 876,manual wheelchair
U+1F9BC,877,emoji number: 877,motorized wheelchair
U+1F6FA,878,emoji number: 878,auto rickshaw
U+1F6B2,879,emoji number: 879,bicycle
U+1F6F4,880,emoji number: 880,kick scooter
U+1F6F9,881,emoji number: 881,skateboard
U+1F6FC,882,emoji number: 882,roller skate
U+1F68F,883,emoji number: 883,bus stop
U+1F6E3,884,emoji number: 884,motorway
U+1F6E4,885,emoji number: 885,railway track
U+1F6E2,886,emoji number: 886,oil drum
U+26FD,887,emoji number: 887,fuel pump
U+1F6A8,888,emoji number: 888,police car light
U+1F6A5,889,emoji number: 889,horizontal traffic light
U+1F6A6,890,emoji number: 890,vertical traffic light
U+1F6D1,891,emoji number: 891,stop sign
U+1F6A7,892,emoji number: 892,construction
U+2693,893,emoji number: 893,anchor
U+26F5,894,emoji number: 894,sailboat
U+1F6F6,895,emoji number: 895,canoe
U+1F6A4,896,emoji number: 896,speedboat
U+1F6F3,897,emoji number: 897,passenger ship
U+26F4,898,emoji number: 898,ferry
U+1F6E5,899,emoji number: 899,motor boat
U+1F6A2,900,emoji number: 900,ship
U+2708,901,emoji number: 901,airplane
U+1F6E9,902,emoji number: 902,small airplane
U+1F6EB,903,emoji number: 903,airplane departure
U+1F6EC,904,emoji number: 904,airplane arrival
U+1FA82,905,emoji number: 905,parachute
U+1F4BA,906,emoji number: 906,seat
U+1F681,907,emoji number: 907,helicopter
U+1F69F,908,emoji number: 908,suspension railway
U+1F6A0,909,emoji number: 909,mountain cableway
U+1F6A1,910,emoji number: 910,aerial tramway
U+1F6F0,911,emoji number: 911,satellite
U+1F680,912,emoji number: 912,rocket
U+1F6F8,913,emoji number: 913,flying saucer
U+1F6CE,914,emoji number: 914,bellhop bell
U+1F9F3,915,emoji number: 915,luggage
U+231B,916,emoji number: 916,hourglass done
U+23F3,917,emoji number: 917,hourglass not done
U+231A,918,emoji number: 918,watch
U+23F0,919,emoji number: 919,alarm clock
U+23F1,920,emoji number: 920,stopwatch
U+23F2,921,emoji number: 921,timer clock
U+1F570,922,emoji number: 922,mantelpiece clock
U+1F55B,923,emoji number: 923,twelve o’clock
U+1F567,924,emoji number: 924,twelve-thirty
U+1F550,925,emoji number: 925,one o’clock
U+1F55C,926,emoji number: 926,one-thirty
U+1F551,927,emoji number: 927,two o’clock
U+1F55D,928,emoji number: 928,two-thirty
U+1F552,929,emoji number: 929,three o’clock
U+1F55E,930,emoji number: 930,three-thirty
U+1F553,931,emoji number: 931,four o’clock
U+1F55F,932,emoji number: 932,four-thirty
U+1F554,933,emoji number: 933,five o’clock
U+1F560,934,emoji number: 934,five-thirty
U+1F555,935,emoji number: 935,six o’clock
U+1F561,936,emoji number: 936,six-thirty
U+1F556,937,emoji number: 937,seven o’clock
U+1F562,938,emoji number: 938,seven-thirty
U+1F557,939,emoji number: 939,eight o’clock
U+1F563,940,emoji number: 940,eight-thirty
U+1F558,941,emoji number: 941,nine o’clock
U+1F564,942,emoji number: 942,nine-thirty
U+1F559,943,emoji number: 943,ten o’clock
U+1F565,944,emoji number: 944,ten-thirty
U+1F55A,945,emoji number: 945,eleven o’clock
U+1F566,946,emoji number: 946,eleven-thirty
U+1F311,947,emoji number: 947,new moon
U+1F312,948,emoji number: 948,waxing crescent moon
U+1F313,949,emoji number: 949,first quarter moon
U+1F314,950,emoji number: 950,waxing gibbous moon
U+1F315,951,emoji number: 951,full moon
U+1F316,952,emoji number: 952,waning gibbous moon
U+1F317,953,emoji number: 953,last quarter moon
U+1F318,954,emoji number: 954,waning crescent moon
U+1F319,955,emoji number: 955,crescent moon
U+1F31A,956,emoji number: 956,new moon face
U+1F31B,957,emoji number: 957,first quarter moon face
U+1F31C,958,emoji number: 958,last quarter moon face
U+1F321,959,emoji number: 959,thermometer
U+2600,960,emoji number: 960,sun
U+1F31D,961,emoji number: 961,full moon face
U+1F31E,962,emoji number: 962,sun with face
U+1FA90,963,emoji number: 963,ringed planet
U+2B50,964,emoji number: 964,star
U+1F31F,965,emoji number: 965,glowing star
U+1F320,966,emoji number: 966,shooting star
U+1F30C,967,emoji number: 967,milky way
U+2601,968,emoji number: 968,cloud
U+26C5,969,emoji number: 969,sun behind cloud
U+26C8,970,emoji number: 970,cloud with lightning and rain
U+1F324,971,emoji number: 971,sun behind small cloud
U+1F325,972,emoji number: 972,sun behind large cloud
U+1F326,973,emoji number: 973,sun behind rain cloud
U+1F327,974,emoji number: 974,cloud with rain
U+1F328,975,emoji number: 975,cloud with snow
U+1F329,976,emoji number: 976,cloud with lightning
U+1F32A,977,emoji number: 977,tornado
U+1F32B,978,emoji number: 978,fog
U+1F32C,979,emoji number: 979,wind face
U+1F300,980,emoji number: 980,cyclone
U+1F308,981,emoji number: 981,rainbow
U+1F302,982,emoji number: 982,closed umbrella
U+2602,983,emoji number: 983,umbrella
U+2614,984,emoji number: 984,umbrella with rain drops
U+26F1,985,emoji number: 985,umbrella on ground
U+26A1,986,emoji number: 986,high voltage
U+2744,987,emoji number: 987,snowflake
U+2603,988,emoji number: 988,snowman
U+26C4,989,emoji number: 989,snowman without snow
U+2604,990,emoji number: 990,comet
U+1F525,991,emoji number: 991,fire
U+1F4A7,992,emoji number: 992,droplet
U+1F30A,993,emoji number: 993,water wave
U+1F383,994,emoji number: 994,jack-o-lantern
U+1F384,995,emoji number: 995,Christmas tree
U+1F386,996,emoji number: 996,fireworks
U+1F387,997,emoji number: 997,sparkler
U+1F9E8,998,emoji number: 998,firecracker
U+2728,999,emoji number: 999,sparkles
U+1F388,1000,emoji number: 1000,balloon
U+1F389,1001,emoji number: 1001,party popper
U+1F38A,1002,emoji number: 1002,confetti ball
U+1F38B,1003,emoji number: 1003,tanabata tree
U+1F38D,1004,emoji number: 1004,pine decoration
U+1F38E,1005,emoji number: 1005,Japanese dolls
U+1F38F,1006,emoji number: 1006,carp streamer
U+1F390,1007,emoji number: 1007,wind chime
U+1F391,1008,emoji number: 1008,moon viewing ceremony
U+1F9E7,1009,emoji number: 1009,red envelope
U+1F380,1010,emoji number: 1010,ribbon
U+1F381,1011,emoji number: 1011,wrapped gift
U+1F397,1012,emoji number: 1012,reminder ribbon
U+1F39F,1013,emoji number: 1013,admission tickets
U+1F3AB,1014,emoji number: 1014,ticket
U+1F396,1015,emoji number: 1015,military medal
U+1F3C6,1016,emoji number: 1016,trophy
U+1F3C5,1017,emoji number: 1017,sports medal
U+1F947,1018,emoji number: 1018,1st place medal
U+1F948,1019,emoji number: 1019,2nd place medal
U+1F949,1020,emoji number: 1020,3rd place medal
U+26BD,1021,emoji number: 1021,soccer ball
U+26BE,1022,emoji number: 1022,baseball
U+1F94E,1023,emoji number: 1023,softball
U+1F3C0,1024,emoji number: 1024,basketball
U+1F3D0,1025,emoji number: 1025,volleyball
U+1F3C8,1026,emoji number: 1026,american football
U+1F3C9,1027,emoji number: 1027,rugby football
U+1F3BE,1028,emoji number: 1028,tennis
U+1F94F,1029,emoji number: 1029,flying disc
U+1F3B3,1030,emoji number: 1030,bowling
U+1F3CF,1031,emoji number: 1031,cricket game
U+1F3D1,1032,emoji number: 1032,field hockey
U+1F3D2,1033,emoji number: 1033,ice hockey
U+1F94D,1034,emoji number: 1034,lacrosse
U+1F3D3,1035,emoji number: 1035,ping pong
U+1F3F8,1036,emoji number: 1036,badminton
U+1F94A,1037,emoji number: 1037,boxing glove
U+1F94B,1038,emoji number: 1038,martial arts uniform
U+1F945,1039,emoji number: 1039,goal net
U+26F3,1040,emoji number: 1040,flag in hole
U+26F8,1041,emoji number: 1041,ice skate
U+1F3A3,1042,emoji number: 1042,fishing pole
U+1F93F,1043,emoji number: 1043,diving mask
U+1F3BD,1044,emoji number: 1044,running shirt
U+1F3BF,1045,emoji number: 1045,skis
U+1F6F7,1046,emoji number: 1046,sled
U+1F94C,1047,emoji number: 1047,curling stone
U+1F3AF,1048,emoji number: 1048,bullseye
U+1FA80,1049,emoji number: 1049,yo-yo
U+1FA81,1050,emoji number: 1050,kite
U+1F3B1,1051,emoji number: 1051,pool 8 ball
U+1F52E,1052,emoji number: 1052,crystal ball
U+1FA84,1053,emoji number: 1053,magic wand
U+1F9FF,1054,emoji number: 1054,nazar amulet
U+1F3AE,1055,emoji number: 1055,video game
U+1F579,1056,emoji number: 1056,joystick
U+1F3B0,1057,emoji number: 1057,slot machine
U+1F3B2,1058,emoji number: 1058,game die
U+1F9E9,1059,emoji number: 1059,puzzle piece
U+1F9F8,1060,emoji number: 1060,teddy bear
U+1FA85,1061,emoji number: 1061,piñata
U+1FA86,1062,emoji number: 1062,nesting dolls
U+2660,1063,emoji number: 1063,spade suit
U+2665,1064,emoji number: 1064,heart suit
U+2666,1065,emoji number: 1065,diamond suit
U+2663,1066,emoji number: 1066,club suit
U+265F,1067,emoji number: 1067,chess pawn
U+1F0CF,1068,emoji number: 1068,joker
U+1F004,1069,emoji number: 1069,mahjong red dragon
U+1F3B4,1070,emoji number: 1070,flower playing cards
U+1F3AD,1071,emoji number: 1071,performing arts
U+1F5BC,1072,emoji number: 1072,framed picture
U+1F3A8,1073,emoji number: 1073,artist palette
U+1F9F5,1074,emoji number: 1074,thread
U+1FAA1,1075,emoji number: 1075,sewing needle
U+1F9F6,1076,emoji number: 1076,yarn
U+1FAA2,1077,emoji number: 1077,knot
U+1F453,1078,emoji number: 1078,glasses
U+1F576,1079,emoji number: 1079,sunglasses
U+1F97D,1080,emoji number: 1080,goggles
U+1F97C,1081,emoji number: 1081,lab coat
U+1F9BA,1082,emoji number: 1082,safety vest
U+1F454,1083,emoji number: 1083,necktie
U+1F455,1084,emoji number: 1084,t-shirt
U+1F456,1085,emoji number: 1085,jeans
