%-)|emoji.|user has been staring at a green screen for 15 hours straight
:baby_symbol:|emoji.|baby symbol
:back:|emoji.|back with leftwards arrow above
:bacon:|emoji.|bacon
:badminton:|emoji.|badminton racquet and shuttlecock
:baggage_claim:|emoji.|baggage claim
:baguette_bread:|emoji.|baguette bread
:bahamas:|emoji.|regional indicator symbol letter b, regional indicator symbol letter s
:bahrain:|emoji.|regional indicator symbol letter b, regional indicator symbol letter h
:balance_scale:|emoji.|scales, variation selector-16
:balloon:|emoji.|balloon
:ballot_box:|emoji.|ballot box with ballot
:ballot_box_with_check:|emoji.|ballot box with check, variation selector-16
:bamboo:|emoji.|pine decoration
:banana:|emoji.|banana
:bangbang:|emoji.|double exclamation mark, variation selector-16
:bangladesh:|emoji.|regional indicator symbol letter b, regional indicator symbol letter d
:bank:|emoji.|bank
:bar_chart:|emoji.|bar chart
:barbados:|emoji.|regional indicator symbol letter b, regional indicator symbol letter b
:barber:|emoji.|barber pole
:baseball:|emoji.|baseball, variation selector-16
:basketball:|emoji.|basketball and hoop
:basketball_man:|emoji.|person with ball, variation selector-16
:basketball_woman:|emoji.|person with ball, variation selector-16, zero width joiner, female sign, variation selector-16
:bat:|emoji.|bat
:bath:|emoji.|bath
:bathtub:|emoji.|bathtub
:battery:|emoji.|battery
:beach_umbrella:|emoji.|beach with umbrella
:bear:|emoji.|bear face
:bed:|emoji.|bed
:bee:|emoji.|honeybee
:beer:|emoji.|beer mug
:beers:|emoji.|clinking beer mugs
:beetle:|emoji.|lady beetle
:beginner:|emoji.|japanese symbol for beginner
:belarus:|emoji.|regional indicator symbol letter b, regional indicator symbol letter y
:belgium:|emoji.|regional indicator symbol letter b, regional indicator symbol letter e
:belize:|emoji.|regional indicator symbol letter b, regional indicator symbol letter z
:bell:|emoji.|bell
:bellhop_bell:|emoji.|bellhop bell
:benin:|emoji.|regional indicator symbol letter b, regional indicator symbol letter j
:bento:|emoji.|bento box
:bermuda:|emoji.|regional indicator symbol letter b, regional indicator symbol letter m
:bhutan:|emoji.|regional indicator symbol letter b, regional indicator symbol letter t
:bike:|emoji.|bicycle
:biking_man:|emoji.|bicyclist
:biking_woman:|emoji.|bicyclist, zero width joiner, female sign, variation selector-16
:bikini:|emoji.|bikini
:biohazard:|emoji.|biohazard sign, variation selector-16
:bird:|emoji.|bird
:birthday:|emoji.|birthday cake
:black_circle:|emoji.|medium black circle, variation selector-16
:black_flag:|emoji.|waving black flag
:black_heart:|emoji.|black heart
:black_joker:|emoji.|playing card black joker
:black_large_square:|emoji.|black large square, variation selector-16
:black_medium_small_square:|emoji.|black medium small square, variation selector-16
:black_medium_square:|emoji.|black medium square, variation selector-16
:black_nib:|emoji.|black nib, variation selector-16
:black_small_square:|emoji.|black small square, variation selector-16
:black_square_button:|emoji.|black square button
:blonde_man:|emoji.|person with blond hair
:blonde_woman:|emoji.|person with blond hair, zero width joiner, female sign, variation selector-16
:blossom:|emoji.|blossom
:blowfish:|emoji.|blowfish
:blue_book:|emoji.|blue book
:blue_car:|emoji.|recreational vehicle
:blue_heart:|emoji.|blue heart
:blush:|emoji.|smiling face with smiling eyes
:boar:|emoji.|boar
:boat:|emoji.|sailboat, variation selector-16
:bolivia:|emoji.|regional indicator symbol letter b, regional indicator symbol letter o
:bomb:|emoji.|bomb
:book:|emoji.|open book
:bookmark:|emoji.|bookmark
:bookmark_tabs:|emoji.|bookmark tabs
:books:|emoji.|books
:boom:|emoji.|collision symbol
:boot:|emoji.|womans boots
:bosnia_herzegovina:|emoji.|regional indicator symbol letter b, regional indicator symbol letter a
:botswana:|emoji.|regional indicator symbol letter b, regional indicator symbol letter w
:bouquet:|emoji.|bouquet
:bow_and_arrow:|emoji.|bow and arrow
:bowing_man:|emoji.|person bowing deeply
:bowing_woman:|emoji.|person bowing deeply, zero width joiner, female sign, variation selector-16
:bowling:|emoji.|bowling
:boxing_glove:|emoji.|boxing glove
:boy:|emoji.|boy
:brazil:|emoji.|regional indicator symbol letter b, regional indicator symbol letter r
:bread:|emoji.|bread
:bride_with_veil:|emoji.|bride with veil
:bridge_at_night:|emoji.|bridge at night
:briefcase:|emoji.|briefcase
:british_indian_ocean_territory:|emoji.|regional indicator symbol letter i, regional indicator symbol letter o
:british_virgin_islands:|emoji.|regional indicator symbol letter v, regional indicator symbol letter g
:broken_heart:|emoji.|broken heart
:brunei:|emoji.|regional indicator symbol letter b, regional indicator symbol letter n
:bug:|emoji.|bug
:building_construction:|emoji.|building construction
:bulb:|emoji.|electric light bulb
:bulgaria:|emoji.|regional indicator symbol letter b, regional indicator symbol letter g
:bullettrain_front:|emoji.|high-speed train with bullet nose
:bullettrain_side:|emoji.|high-speed train
:burkina_faso:|emoji.|regional indicator symbol letter b, regional indicator symbol letter f
:burrito:|emoji.|burrito
:burundi:|emoji.|regional indicator symbol letter b, regional indicator symbol letter i
:bus:|emoji.|bus
:business_suit_levitating:|emoji.|man in business suit levitating
:busstop:|emoji.|bus stop
:bust_in_silhouette:|emoji.|bust in silhouette
:busts_in_silhouette:|emoji.|busts in silhouette
:butterfly:|emoji.|butterfly
:c|emoji.|what?
:cactus:|emoji.|cactus
:cake:|emoji.|shortcake
:calendar:|emoji.|tear-off calendar
:call_me_hand:|emoji.|call me hand
:calling:|emoji.|mobile phone with rightwards arrow at left
:cambodia:|emoji.|regional indicator symbol letter k, regional indicator symbol letter h
:camel:|emoji.|bactrian camel
:camera:|emoji.|camera
:camera_flash:|emoji.|camera with flash
:cameroon:|emoji.|regional indicator symbol letter c, regional indicator symbol letter m
:camping:|emoji.|camping
:canada:|emoji.|regional indicator symbol letter c, regional indicator symbol letter a
:canary_islands:|emoji.|regional indicator symbol letter i, regional indicator symbol letter c
:cancer:|emoji.|cancer, variation selector-16
:candle:|emoji.|candle
:candy:|emoji.|candy
:canoe:|emoji.|canoe
:cape_verde:|emoji.|regional indicator symbol letter c, regional indicator symbol letter v
