%-)|emoji.|user has been staring at a green screen for 15 hours straight
:gabon:|emoji.|regional indicator symbol letter g, regional indicator symbol letter a
:gambia:|emoji.|regional indicator symbol letter g, regional indicator symbol letter m
:game_die:|emoji.|game die
:gb:|emoji.|regional indicator symbol letter g, regional indicator symbol letter b
:gear:|emoji.|gear, variation selector-16
:gem:|emoji.|gem stone
:gemini:|emoji.|gemini, variation selector-16
:georgia:|emoji.|regional indicator symbol letter g, regional indicator symbol letter e
:ghana:|emoji.|regional indicator symbol letter g, regional indicator symbol letter h
:ghost:|emoji.|ghost
:gibraltar:|emoji.|regional indicator symbol letter g, regional indicator symbol letter i
:gift:|emoji.|wrapped present
:gift_heart:|emoji.|heart with ribbon
:girl:|emoji.|girl
:globe_with_meridians:|emoji.|globe with meridians
:goal_net:|emoji.|goal net
:goat:|emoji.|goat
:golf:|emoji.|flag in hole, variation selector-16
:golfing_man:|emoji.|golfer, variation selector-16
:golfing_woman:|emoji.|golfer, variation selector-16, zero width joiner, female sign, variation selector-16
:gorilla:|emoji.|gorilla
:grapes:|emoji.|grapes
:greece:|emoji.|regional indicator symbol letter g, regional indicator symbol letter r
:green_apple:|emoji.|green apple
:green_book:|emoji.|green book
:green_heart:|emoji.|green heart
:green_salad:|emoji.|green salad
:greenland:|emoji.|regional indicator symbol letter g, regional indicator symbol letter l
:grenada:|emoji.|regional indicator symbol letter g, regional indicator symbol letter d
:grey_exclamation:|emoji.|white exclamation mark ornament
:grey_question:|emoji.|white question mark ornament
:grimacing:|emoji.|grimacing face
:grin:|emoji.|grinning face with smiling eyes
:grinning:|emoji.|grinning face
:guadeloupe:|emoji.|regional indicator symbol letter g, regional indicator symbol letter p
:guam:|emoji.|regional indicator symbol letter g, regional indicator symbol letter u
:guardsman:|emoji.|guardsman
:guardswoman:|emoji.|guardsman, zero width joiner, female sign, variation selector-16
:guatemala:|emoji.|regional indicator symbol letter g, regional indicator symbol letter t
:guernsey:|emoji.|regional indicator symbol letter g, regional indicator symbol letter g
:guinea:|emoji.|regional indicator symbol letter g, regional indicator symbol letter n
:guinea_bissau:|emoji.|regional indicator symbol letter g, regional indicator symbol letter w
:guitar:|emoji.|guitar
:gun:|emoji.|pistol
:guyana:|emoji.|regional indicator symbol letter g, regional indicator symbol letter y
:haircut_man:|emoji.|haircut, zero width joiner, male sign, variation selector-16
:haircut_woman:|emoji.|haircut
:haiti:|emoji.|regional indicator symbol letter h, regional indicator symbol letter t
:hamburger:|emoji.|hamburger
:hammer:|emoji.|hammer
:hammer_and_pick:|emoji.|hammer and pick
:hammer_and_wrench:|emoji.|hammer and wrench
:hamster:|emoji.|hamster face
:hand:|emoji.|raised hand
:handbag:|emoji.|handbag
:handshake:|emoji.|handshake
:hankey:|emoji.|pile of poo
:hash:|emoji.|#, variation selector-16, combining enclosing keycap
:hatched_chick:|emoji.|front-facing baby chick
:hatching_chick:|emoji.|hatching chick
:headphones:|emoji.|headphone
:hear_no_evil:|emoji.|hear-no-evil monkey
:heart:|emoji.|heavy black heart, variation selector-16
:heart_decoration:|emoji.|heart decoration
:heart_eyes:|emoji.|smiling face with heart-shaped eyes
:heart_eyes_cat:|emoji.|smiling cat face with heart-shaped eyes
:heartbeat:|emoji.|beating heart
:heartpulse:|emoji.|growing heart
:hearts:|emoji.|black heart suit, variation selector-16
:heavy_check_mark:|emoji.|heavy check mark, variation selector-16
:heavy_division_sign:|emoji.|heavy division sign
:heavy_dollar_sign:|emoji.|heavy dollar sign
:heavy_heart_exclamation:|emoji.|heavy heart exclamation mark ornament, variation selector-16
:heavy_minus_sign:|emoji.|heavy minus sign
:heavy_multiplication_x:|emoji.|heavy multiplication x, variation selector-16
:heavy_plus_sign:|emoji.|heavy plus sign
:helicopter:|emoji.|helicopter
:herb:|emoji.|herb
:hibiscus:|emoji.|hibiscus
:high_brightness:|emoji.|high brightness symbol
:high_heel:|emoji.|high-heeled shoe
:hocho:|emoji.|hocho
:hole:|emoji.|hole
:honduras:|emoji.|regional indicator symbol letter h, regional indicator symbol letter n
:honey_pot:|emoji.|honey pot
:hong_kong:|emoji.|regional indicator symbol letter h, regional indicator symbol letter k
:horse:|emoji.|horse face
:horse_racing:|emoji.|horse racing
:hospital:|emoji.|hospital
:hot_pepper:|emoji.|hot pepper
:hotdog:|emoji.|hot dog
:hotel:|emoji.|hotel
:hotsprings:|emoji.|hot springs, variation selector-16
:hourglass:|emoji.|hourglass, variation selector-16
:hourglass_flowing_sand:|emoji.|hourglass with flowing sand
:house:|emoji.|house building
:house_with_garden:|emoji.|house with garden
:houses:|emoji.|house buildings
:hugs:|emoji.|hugging face
:hungary:|emoji.|regional indicator symbol letter h, regional indicator symbol letter u
:hushed:|emoji.|hushed face
:i|emoji.|hmmm
:ice_cream:|emoji.|ice cream
:ice_hockey:|emoji.|ice hockey stick and puck
:ice_skate:|emoji.|ice skate
:icecream:|emoji.|soft ice cream
:iceland:|emoji.|regional indicator symbol letter i, regional indicator symbol letter s
:id:|emoji.|squared id
:ideograph_advantage:|emoji.|circled ideograph advantage
:imp:|emoji.|imp
:inbox_tray:|emoji.|inbox tray
:incoming_envelope:|emoji.|incoming envelope
:india:|emoji.|regional indicator symbol letter i, regional indicator symbol letter n
:indonesia:|emoji.|regional indicator symbol letter i, regional indicator symbol letter d
:information_source:|emoji.|information source, variation selector-16
:innocent:|emoji.|smiling face with halo
:interrobang:|emoji.|exclamation question mark, variation selector-16
:iphone:|emoji.|mobile phone
:iran:|emoji.|regional indicator symbol letter i, regional indicator symbol letter r
:iraq:|emoji.|regional indicator symbol letter i, regional indicator symbol letter q
:ireland:|emoji.|regional indicator symbol letter i, regional indicator symbol letter e
:isle_of_man:|emoji.|regional indicator symbol letter i, regional indicator symbol letter m
:israel:|emoji.|regional indicator symbol letter i, regional indicator symbol letter l
:it:|emoji.|regional indicator symbol letter i, regional indicator symbol letter t
:izakaya_lantern:|emoji.|izakaya lantern
:jack_o_lantern:|emoji.|jack-o-lantern
:jamaica:|emoji.|regional indicator symbol letter j, regional indicator symbol letter m
:japan:|emoji.|silhouette of japan
:japanese_castle:|emoji.|japanese castle
:japanese_goblin:|emoji.|japanese goblin
:japanese_ogre:|emoji.|japanese ogre
:jeans:|emoji.|jeans
:jersey:|emoji.|regional indicator symbol letter j, regional indicator symbol letter e
:jordan:|emoji.|regional indicator symbol letter j, regional indicator symbol letter o
:joy:|emoji.|face with tears of joy
:joy_cat:|emoji.|cat face with tears of joy
:joystick:|emoji.|joystick
:jp:|emoji.|regional indicator symbol letter j, regional indicator symbol letter p
:kaaba:|emoji.|kaaba
:kazakhstan:|emoji.|regional indicator symbol letter k, regional indicator symbol letter z
:kenya:|emoji.|regional indicator symbol letter k, regional indicator symbol letter e
:key:|emoji.|key
:keyboard:|emoji.|keyboard, variation selector-16
:keycap_ten:|emoji.|keycap ten
:kick_scooter:|emoji.|scooter
:kimono:|emoji.|kimono
:kiribati:|emoji.|regional indicator symbol letter k, regional indicator symbol letter i
:kiss:|emoji.|kiss mark
:kissing:|emoji.|kissing face
:kissing_cat:|emoji.|kissing cat face with closed eyes
:kissing_closed_eyes:|emoji.|kissing face with closed eyes
:kissing_heart:|emoji.|face throwing a kiss
:kissing_smiling_eyes:|emoji.|kissing face with smiling eyes
:kiwi_fruit:|emoji.|kiwifruit
:koala:|emoji.|koala
:koko:|emoji.|squared katakana koko
:kosovo:|emoji.|regional indicator symbol letter x, regional indicator symbol letter k
:kr:|emoji.|regional indicator symbol letter k, regional indicator symbol letter r
:kuwait:|emoji.|regional indicator symbol letter k, regional indicator symbol letter w
:kyrgyzstan:|emoji.|regional indicator symbol letter k, regional indicator symbol letter g
:label:|emoji.|label
:laos:|emoji.|regional indicator symbol letter l, regional indicator symbol letter a
:large_blue_circle:|emoji.|large blue circle
:large_blue_diamond:|emoji.|large blue diamond
:large_orange_diamond:|emoji.|large orange diamond
:last_quarter_moon:|emoji.|last quarter moon symbol
:last_quarter_moon_with_face:|emoji.|last quarter moon with face
:latin_cross:|emoji.|latin cross, variation selector-16
:latvia:|emoji.|regional indicator symbol letter l, regional indicator symbol letter v
:laughing:|emoji.|smiling face with open mouth and tightly-closed eyes
:leaves:|emoji.|leaf fluttering in wind
:lebanon:|emoji.|regional indicator symbol letter l, regional indicator symbol letter b
:ledger:|emoji.|ledger
:left_luggage:|emoji.|left luggage
:left_right_arrow:|emoji.|left right arrow, variation selector-16
:leftwards_arrow_with_hook:|emoji.|leftwards arrow with hook, variation selector-16
:lemon:|emoji.|lemon
:leo:|emoji.|leo, variation selector-16
:leopard:|emoji.|leopard
:lesotho:|emoji.|regional indicator symbol letter l, regional indicator symbol letter s
:level_slider:|emoji.|level slider
:liberia:|emoji.|regional indicator symbol letter l, regional indicator symbol letter r
:libra:|emoji.|libra, variation selector-16
:libya:|emoji.|regional indicator symbol letter l, regional indicator symbol letter y
:liechtenstein:|emoji.|regional indicator symbol letter l, regional indicator symbol letter i
:light_rail:|emoji.|light rail
:link:|emoji.|link symbol
:lion:|emoji.|lion face
:lips:|emoji.|mouth
:lipstick:|emoji.|lipstick
:lithuania:|emoji.|regional indicator symbol letter l, regional indicator symbol letter t
:lizard:|emoji.|lizard
:lock:|emoji.|lock
:lock_with_ink_pen:|emoji.|lock with ink pen
:lollipop:|emoji.|lollipop
:loop:|emoji.|double curly loop
:loud_sound:|emoji.|speaker with three sound waves
:loudspeaker:|emoji.|public address loudspeaker
:love_hotel:|emoji.|love hotel
:love_letter:|emoji.|love letter
:low_brightness:|emoji.|low brightness symbol
:luxembourg:|emoji.|regional indicator symbol letter l, regional indicator symbol letter u
:lying_face:|emoji.|lying face
:m:|emoji.|circled latin capital letter m, variation selector-16
:macau:|emoji.|regional indicator symbol letter m, regional indicator symbol letter o
:macedonia:|emoji.|regional indicator symbol letter m, regional indicator symbol letter k
:madagascar:|emoji.|regional indicator symbol letter m, regional indicator symbol letter g
:mag:|emoji.|left-pointing magnifying glass
:mag_right:|emoji.|right-pointing magnifying glass
:mahjong:|emoji.|mahjong tile red dragon, variation selector-16
:mailbox:|emoji.|closed mailbox with raised flag
:mailbox_closed:|emoji.|closed mailbox with lowered flag
:mailbox_with_mail:|emoji.|open mailbox with raised flag
:mailbox_with_no_mail:|emoji.|open mailbox with lowered flag
:malawi:|emoji.|regional indicator symbol letter m, regional indicator symbol letter w
:malaysia:|emoji.|regional indicator symbol letter m, regional indicator symbol letter y
:maldives:|emoji.|regional indicator symbol letter m, regional indicator symbol letter v
:male_detective:|emoji.|sleuth or spy, variation selector-16
:mali:|emoji.|regional indicator symbol letter m, regional indicator symbol letter l
:malta:|emoji.|regional indicator symbol letter m, regional indicator symbol letter t
:man:|emoji.|man
:man_artist:|emoji.|man, zero width joiner, artist palette
:man_astronaut:|emoji.|man, zero width joiner, rocket
:man_cartwheeling:|emoji.|person doing cartwheel, zero width joiner, male sign, variation selector-16
:man_cook:|emoji.|man, zero width joiner, cooking
:man_dancing:|emoji.|man dancing
:man_facepalming:|emoji.|face palm, zero width joiner, male sign, variation selector-16
:man_factory_worker:|emoji.|man, zero width joiner, factory
:man_farmer:|emoji.|man, zero width joiner, ear of rice
:man_firefighter:|emoji.|man, zero width joiner, fire engine
:man_health_worker:|emoji.|man, zero width joiner, staff of aesculapius, variation selector-16
:man_in_tuxedo:|emoji.|man in tuxedo
:man_judge:|emoji.|man, zero width joiner, scales, variation selector-16
:man_juggling:|emoji.|juggling, zero width joiner, male sign, variation selector-16
:man_mechanic:|emoji.|man, zero width joiner, wrench
:man_office_worker:|emoji.|man, zero width joiner, briefcase
:man_pilot:|emoji.|man, zero width joiner, airplane, variation selector-16
:man_playing_handball:|emoji.|handball, zero width joiner, male sign, variation selector-16
:man_playing_water_polo:|emoji.|water polo, zero width joiner, male sign, variation selector-16
:man_scientist:|emoji.|man, zero width joiner, microscope
:man_shrugging:|emoji.|shrug, zero width joiner, male sign, variation selector-16
:man_singer:|emoji.|man, zero width joiner, microphone
:man_student:|emoji.|man, zero width joiner, graduation cap
:man_teacher:|emoji.|man, zero width joiner, school
:man_technologist:|emoji.|man, zero width joiner, personal computer
:man_with_gua_pi_mao:|emoji.|man with gua pi mao
:man_with_turban:|emoji.|man with turban
:mans_shoe:|emoji.|mans shoe
:mantelpiece_clock:|emoji.|mantelpiece clock
:maple_leaf:|emoji.|maple leaf
:marshall_islands:|emoji.|regional indicator symbol letter m, regional indicator symbol letter h
:martial_arts_uniform:|emoji.|martial arts uniform
:martinique:|emoji.|regional indicator symbol letter m, regional indicator symbol letter q
:mask:|emoji.|face with medical mask
:massage_man:|emoji.|face massage, zero width joiner, male sign, variation selector-16
:massage_woman:|emoji.|face massage
:mauritania:|emoji.|regional indicator symbol letter m, regional indicator symbol letter r
:mauritius:|emoji.|regional indicator symbol letter m, regional indicator symbol letter u
:mayotte:|emoji.|regional indicator symbol letter y, regional indicator symbol letter t
:meat_on_bone:|emoji.|meat on bone
:medal_military:|emoji.|military medal
:medal_sports:|emoji.|sports medal
:mega:|emoji.|cheering megaphone
:melon:|emoji.|melon
:memo:|emoji.|memo
:men_wrestling:|emoji.|wrestlers, zero width joiner, male sign, variation selector-16
:menorah:|emoji.|menorah with nine branches
:mens:|emoji.|mens symbol
:metal:|emoji.|sign of the horns
:metro:|emoji.|metro
:mexico:|emoji.|regional indicator symbol letter m, regional indicator symbol letter x
:micronesia:|emoji.|regional indicator symbol letter f, regional indicator symbol letter m
:microphone:|emoji.|microphone
:microscope:|emoji.|microscope
:middle_finger:|emoji.|reversed hand with middle finger extended
:milk_glass:|emoji.|glass of milk
:milky_way:|emoji.|milky way
:minibus:|emoji.|minibus
:minidisc:|emoji.|minidisc
:mobile_phone_off:|emoji.|mobile phone off
:moldova:|emoji.|regional indicator symbol letter m, regional indicator symbol letter d
:monaco:|emoji.|regional indicator symbol letter m, regional indicator symbol letter c
:money_mouth_face:|emoji.|money-mouth face
:money_with_wings:|emoji.|money with wings
:moneybag:|emoji.|money bag
:mongolia:|emoji.|regional indicator symbol letter m, regional indicator symbol letter n
:monkey:|emoji.|monkey
:monkey_face:|emoji.|monkey face
:monorail:|emoji.|monorail
:montenegro:|emoji.|regional indicator symbol letter m, regional indicator symbol letter e
:montserrat:|emoji.|regional indicator symbol letter m, regional indicator symbol letter s
:moon:|emoji.|waxing gibbous moon symbol
:morocco:|emoji.|regional indicator symbol letter m, regional indicator symbol letter a
:mortar_board:|emoji.|graduation cap
:mosque:|emoji.|mosque
:motor_boat:|emoji.|motor boat
:motor_scooter:|emoji.|motor scooter
:motorcycle:|emoji.|racing motorcycle
:motorway:|emoji.|motorway
:mount_fuji:|emoji.|mount fuji
:mountain:|emoji.|mountain
:mountain_biking_man:|emoji.|mountain bicyclist
:mountain_biking_woman:|emoji.|mountain bicyclist, zero width joiner, female sign, variation selector-16
:mountain_cableway:|emoji.|mountain cableway
:mountain_railway:|emoji.|mountain railway
:mountain_snow:|emoji.|snow capped mountain
:mouse2:|emoji.|mouse
:mouse:|emoji.|mouse face
:movie_camera:|emoji.|movie camera
:moyai:|emoji.|moyai
:mozambique:|emoji.|regional indicator symbol letter m, regional indicator symbol letter z
:mrs_claus:|emoji.|mother christmas
:muscle:|emoji.|flexed biceps
:mushroom:|emoji.|mushroom
:musical_keyboard:|emoji.|musical keyboard
:musical_note:|emoji.|musical note
:musical_score:|emoji.|musical score
:mute:|emoji.|speaker with cancellation stroke
:myanmar:|emoji.|regional indicator symbol letter m, regional indicator symbol letter m
:nail_care:|emoji.|nail polish
:name_badge:|emoji.|name badge
:namibia:|emoji.|regional indicator symbol letter n, regional indicator symbol letter a
:national_park:|emoji.|national park
:nauru:|emoji.|regional indicator symbol letter n, regional indicator symbol letter r
:nauseated_face:|emoji.|nauseated face
:necktie:|emoji.|necktie
:negative_squared_cross_mark:|emoji.|negative squared cross mark
:nepal:|emoji.|regional indicator symbol letter n, regional indicator symbol letter p
:nerd_face:|emoji.|nerd face
:netherlands:|emoji.|regional indicator symbol letter n, regional indicator symbol letter l
:neutral_face:|emoji.|neutral face
:new:|emoji.|squared new
:new_caledonia:|emoji.|regional indicator symbol letter n, regional indicator symbol letter c
:new_moon:|emoji.|new moon symbol
:new_moon_with_face:|emoji.|new moon with face
:new_zealand:|emoji.|regional indicator symbol letter n, regional indicator symbol letter z
:newspaper:|emoji.|newspaper
:newspaper_roll:|emoji.|rolled-up newspaper
:next_track_button:|emoji.|black right-pointing double triangle with vertical bar
:ng:|emoji.|squared ng
:nicaragua:|emoji.|regional indicator symbol letter n, regional indicator symbol letter i
:niger:|emoji.|regional indicator symbol letter n, regional indicator symbol letter e
:nigeria:|emoji.|regional indicator symbol letter n, regional indicator symbol letter g
:night_with_stars:|emoji.|night with stars
:nine:|emoji.|9, variation selector-16, combining enclosing keycap
:niue:|emoji.|regional indicator symbol letter n, regional indicator symbol letter u
:no_bell:|emoji.|bell with cancellation stroke
:no_bicycles:|emoji.|no bicycles
:no_entry:|emoji.|no entry, variation selector-16
:no_entry_sign:|emoji.|no entry sign
:no_good_man:|emoji.|face with no good gesture, zero width joiner, male sign, variation selector-16
:no_good_woman:|emoji.|face with no good gesture
:no_mobile_phones:|emoji.|no mobile phones
:no_mouth:|emoji.|face without mouth
:no_pedestrians:|emoji.|no pedestrians
:no_smoking:|emoji.|no smoking symbol
:non-potable_water:|emoji.|non-potable water symbol
:norfolk_island:|emoji.|regional indicator symbol letter n, regional indicator symbol letter f
:north_korea:|emoji.|regional indicator symbol letter k, regional indicator symbol letter p
:northern_mariana_islands:|emoji.|regional indicator symbol letter m, regional indicator symbol letter p
:norway:|emoji.|regional indicator symbol letter n, regional indicator symbol letter o
:nose:|emoji.|nose
:notebook:|emoji.|notebook
:notebook_with_decorative_cover:|emoji.|notebook with decorative cover
:notes:|emoji.|multiple musical notes
:nut_and_bolt:|emoji.|nut and bolt
:o|emoji.|yelling
:o2:|emoji.|negative squared latin capital letter o, variation selector-16
:o:|emoji.|heavy large circle, variation selector-16
:ocean:|emoji.|water wave
:octopus:|emoji.|octopus
:oden:|emoji.|oden
:office:|emoji.|office building
:oil_drum:|emoji.|oil drum
:ok:|emoji.|squared ok
:ok_hand:|emoji.|ok hand sign
:ok_man:|emoji.|face with ok gesture, zero width joiner, male sign, variation selector-16
:ok_woman:|emoji.|face with ok gesture
:old_key:|emoji.|old key
:older_man:|emoji.|older man
:older_woman:|emoji.|older woman
:om:|emoji.|om symbol
:oman:|emoji.|regional indicator symbol letter o, regional indicator symbol letter m
:on:|emoji.|on with exclamation mark with left right arrow above
:oncoming_automobile:|emoji.|oncoming automobile
:oncoming_bus:|emoji.|oncoming bus
:oncoming_police_car:|emoji.|oncoming police car
:oncoming_taxi:|emoji.|oncoming taxi
:one:|emoji.|1, variation selector-16, combining enclosing keycap
:open_file_folder:|emoji.|open file folder
:open_hands:|emoji.|open hands sign
:open_mouth:|emoji.|face with open mouth
:open_umbrella:|emoji.|umbrella, variation selector-16
:ophiuchus:|emoji.|ophiuchus
:orange_book:|emoji.|orange book
:orthodox_cross:|emoji.|orthodox cross, variation selector-16
:outbox_tray:|emoji.|outbox tray
:owl:|emoji.|owl
:ox:|emoji.|ox
:package:|emoji.|package
:page_facing_up:|emoji.|page facing up
:page_with_curl:|emoji.|page with curl
:pager:|emoji.|pager
:paintbrush:|emoji.|lower left paintbrush
:pakistan:|emoji.|regional indicator symbol letter p, regional indicator symbol letter k
:palau:|emoji.|regional indicator symbol letter p, regional indicator symbol letter w
:palestinian_territories:|emoji.|regional indicator symbol letter p, regional indicator symbol letter s
:palm_tree:|emoji.|palm tree
:panama:|emoji.|regional indicator symbol letter p, regional indicator symbol letter a
:pancakes:|emoji.|pancakes
:panda_face:|emoji.|panda face
:paperclip:|emoji.|paperclip
:paperclips:|emoji.|linked paperclips
:papua_new_guinea:|emoji.|regional indicator symbol letter p, regional indicator symbol letter g
:paraguay:|emoji.|regional indicator symbol letter p, regional indicator symbol letter y
:parasol_on_ground:|emoji.|umbrella on ground
:parking:|emoji.|negative squared latin capital letter p, variation selector-16
:part_alternation_mark:|emoji.|part alternation mark, variation selector-16
:partly_sunny:|emoji.|sun behind cloud, variation selector-16
:passenger_ship:|emoji.|passenger ship
:passport_control:|emoji.|passport control
:pause_button:|emoji.|double vertical bar
:peace_symbol:|emoji.|peace symbol, variation selector-16
:peach:|emoji.|peach
:peanuts:|emoji.|peanuts
:pear:|emoji.|pear
:pen:|emoji.|lower left ballpoint pen
:pencil2:|emoji.|pencil, variation selector-16
:penguin:|emoji.|penguin
:pensive:|emoji.|pensive face
:performing_arts:|emoji.|performing arts
:persevere:|emoji.|persevering face
:person_fencing:|emoji.|fencer
:peru:|emoji.|regional indicator symbol letter p, regional indicator symbol letter e
:philippines:|emoji.|regional indicator symbol letter p, regional indicator symbol letter h
:phone:|emoji.|black telephone, variation selector-16
:pick:|emoji.|pick
:pig2:|emoji.|pig
:pig:|emoji.|pig face
:pig_nose:|emoji.|pig nose
:pill:|emoji.|pill
:pineapple:|emoji.|pineapple
:ping_pong:|emoji.|table tennis paddle and ball
:pisces:|emoji.|pisces, variation selector-16
:pitcairn_islands:|emoji.|regional indicator symbol letter p, regional indicator symbol letter n
:pizza:|emoji.|slice of pizza
:place_of_worship:|emoji.|place of worship
:plate_with_cutlery:|emoji.|fork and knife with plate
:play_or_pause_button:|emoji.|black right-pointing triangle with double vertical bar
:point_down:|emoji.|white down pointing backhand index
:point_left:|emoji.|white left pointing backhand index
:point_right:|emoji.|white right pointing backhand index
:point_up:|emoji.|white up pointing index, variation selector-16
:point_up_2:|emoji.|white up pointing backhand index
:poland:|emoji.|regional indicator symbol letter p, regional indicator symbol letter l
:police_car:|emoji.|police car
:policeman:|emoji.|police officer
:policewoman:|emoji.|police officer, zero width joiner, female sign, variation selector-16
:poodle:|emoji.|poodle
:popcorn:|emoji.|popcorn
:portugal:|emoji.|regional indicator symbol letter p, regional indicator symbol letter t
:post_office:|emoji.|japanese post office
:postal_horn:|emoji.|postal horn
:postbox:|emoji.|postbox
:potable_water:|emoji.|potable water symbol
:potato:|emoji.|potato
:pouch:|emoji.|pouch
:poultry_leg:|emoji.|poultry leg
:pound:|emoji.|banknote with pound sign
:pouting_cat:|emoji.|pouting cat face
:pouting_man:|emoji.|person with pouting face, zero width joiner, male sign, variation selector-16
:pouting_woman:|emoji.|person with pouting face
:pray:|emoji.|person with folded hands
:prayer_beads:|emoji.|prayer beads
:pregnant_woman:|emoji.|pregnant woman
:previous_track_button:|emoji.|black left-pointing double triangle with vertical bar
:prince:|emoji.|prince
:princess:|emoji.|princess
:printer:|emoji.|printer
:puerto_rico:|emoji.|regional indicator symbol letter p, regional indicator symbol letter r
:purple_heart:|emoji.|purple heart
:purse:|emoji.|purse
:pushpin:|emoji.|pushpin
:put_litter_in_its_place:|emoji.|put litter in its place symbol
:q|emoji.|what?
:qatar:|emoji.|regional indicator symbol letter q, regional indicator symbol letter a
:question:|emoji.|black question mark ornament
:rabbit2:|emoji.|rabbit
:rabbit:|emoji.|rabbit face
:racehorse:|emoji.|horse
:racing_car:|emoji.|racing car
:radio:|emoji.|radio
:radio_button:|emoji.|radio button
:radioactive:|emoji.|radioactive sign, variation selector-16
:rage:|emoji.|pouting face
:railway_car:|emoji.|railway car
:railway_track:|emoji.|railway track
:rainbow:|emoji.|rainbow
:rainbow_flag:|emoji.|waving white flag, variation selector-16, zero width joiner, rainbow
:raised_back_of_hand:|emoji.|raised back of hand
:raised_hand_with_fingers_splayed:|emoji.|raised hand with fingers splayed
:raised_hands:|emoji.|person raising both hands in celebration
:raising_hand_man:|emoji.|happy person raising one hand, zero width joiner, male sign, variation selector-16
:raising_hand_woman:|emoji.|happy person raising one hand
:ram:|emoji.|ram
:ramen:|emoji.|steaming bowl
:rat:|emoji.|rat
:record_button:|emoji.|black circle for record
:recycle:|emoji.|black universal recycling symbol, variation selector-16
:red_circle:|emoji.|large red circle
:registered:|emoji.|registered sign, variation selector-16
:relaxed:|emoji.|white smiling face, variation selector-16
:relieved:|emoji.|relieved face
:reminder_ribbon:|emoji.|reminder ribbon
:repeat:|emoji.|clockwise rightwards and leftwards open circle arrows
:repeat_one:|emoji.|clockwise rightwards and leftwards open circle arrows with circled one overlay
:rescue_worker_helmet:|emoji.|helmet with white cross
:restroom:|emoji.|restroom
:reunion:|emoji.|regional indicator symbol letter r, regional indicator symbol letter e
:revolving_hearts:|emoji.|revolving hearts
:rewind:|emoji.|black left-pointing double triangle
:rhinoceros:|emoji.|rhinoceros
:ribbon:|emoji.|ribbon
:rice:|emoji.|cooked rice
:rice_ball:|emoji.|rice ball
:rice_cracker:|emoji.|rice cracker
:rice_scene:|emoji.|moon viewing ceremony
:right_anger_bubble:|emoji.|right anger bubble
:ring:|emoji.|ring
:robot:|emoji.|robot face
:rocket:|emoji.|rocket
:rofl:|emoji.|rolling on the floor laughing
:roll_eyes:|emoji.|face with rolling eyes
:roller_coaster:|emoji.|roller coaster
:romania:|emoji.|regional indicator symbol letter r, regional indicator symbol letter o
:rooster:|emoji.|rooster
:rose:|emoji.|rose
:rosette:|emoji.|rosette
:rotating_light:|emoji.|police cars revolving light
:round_pushpin:|emoji.|round pushpin
:rowing_man:|emoji.|rowboat
:rowing_woman:|emoji.|rowboat, zero width joiner, female sign, variation selector-16
:ru:|emoji.|regional indicator symbol letter r, regional indicator symbol letter u
:rugby_football:|emoji.|rugby football
:running_man:|emoji.|runner
:running_shirt_with_sash:|emoji.|running shirt with sash
:running_woman:|emoji.|runner, zero width joiner, female sign, variation selector-16
:rwanda:|emoji.|regional indicator symbol letter r, regional indicator symbol letter w
:sa:|emoji.|squared katakana sa, variation selector-16
:sagittarius:|emoji.|sagittarius, variation selector-16
:sake:|emoji.|sake bottle and cup
:samoa:|emoji.|regional indicator symbol letter w, regional indicator symbol letter s
:san_marino:|emoji.|regional indicator symbol letter s, regional indicator symbol letter m
:sandal:|emoji.|womans sandal
:santa:|emoji.|father christmas
:sao_tome_principe:|emoji.|regional indicator symbol letter s, regional indicator symbol letter t
:satellite:|emoji.|satellite antenna
:saudi_arabia:|emoji.|regional indicator symbol letter s, regional indicator symbol letter a
:saxophone:|emoji.|saxophone
:school:|emoji.|school
:school_satchel:|emoji.|school satchel
:scissors:|emoji.|black scissors, variation selector-16
:scorpion:|emoji.|scorpion
:scorpius:|emoji.|scorpius, variation selector-16
:scream:|emoji.|face screaming in fear
:scream_cat:|emoji.|weary cat face
:scroll:|emoji.|scroll
:seat:|emoji.|seat
:secret:|emoji.|circled ideograph secret, variation selector-16
:see_no_evil:|emoji.|see-no-evil monkey
:seedling:|emoji.|seedling
:selfie:|emoji.|selfie
:senegal:|emoji.|regional indicator symbol letter s, regional indicator symbol letter n
:serbia:|emoji.|regional indicator symbol letter r, regional indicator symbol letter s
:seven:|emoji.|7, variation selector-16, combining enclosing keycap
:seychelles:|emoji.|regional indicator symbol letter s, regional indicator symbol letter c
:shallow_pan_of_food:|emoji.|shallow pan of food
:shamrock:|emoji.|shamrock, variation selector-16
:shark:|emoji.|shark
:shaved_ice:|emoji.|shaved ice
:sheep:|emoji.|sheep
:shell:|emoji.|spiral shell
:shield:|emoji.|shield
:shinto_shrine:|emoji.|shinto shrine
:ship:|emoji.|ship
:shirt:|emoji.|t-shirt
:shopping:|emoji.|shopping bags
:shopping_cart:|emoji.|shopping trolley
:shower:|emoji.|shower
:shrimp:|emoji.|shrimp
:sierra_leone:|emoji.|regional indicator symbol letter s, regional indicator symbol letter l
:signal_strength:|emoji.|antenna with bars
:singapore:|emoji.|regional indicator symbol letter s, regional indicator symbol letter g
:sint_maarten:|emoji.|regional indicator symbol letter s, regional indicator symbol letter x
:six:|emoji.|6, variation selector-16, combining enclosing keycap
